time	V_out	I_out
0.000000	0.000000	0.000000
0.000100	-2.083333	-0.010417
0.000200	-2.864583	-0.031684
0.000300	0.459346	-0.067871
0.000400	12.707218	-0.119750
0.000500	40.866522	-0.178537
0.000600	93.006200	-0.215401
0.000700	174.550734	-0.166681
0.000800	279.922076	0.082374
0.000900	377.311667	0.706612
0.001000	385.230639	1.923894
0.001100	142.848773	3.918475
0.001200	-616.063260	6.654707
0.001300	-2261.236974	9.520018
0.001400	-5188.839377	10.748702
0.001500	-9592.251938	6.646141
0.001600	-14975.719685	-9.194295
0.001700	-19302.208044	-46.150562
0.001800	-17732.177551	-115.218014
0.001900	-1118.915264	-224.181726
0.002000	45117.312982	-366.636795
0.002100	140296.775695	-501.800807
0.002200	303293.516942	-523.151778
0.002300	538653.686087	-218.270562
0.002400	808563.672439	767.495099
0.002500	985568.307014	2931.676770
0.002600	785453.691188	6817.231641
0.002700	-307532.612662	12714.352856
0.002800	-3084496.796347	20020.120032
0.002900	-8540564.218133	26106.649643
0.003000	-17538020.067926	24630.453132
0.003100	-29976874.915329	3486.934114
0.003200	-43193686.153827	-56785.565221
0.003300	-49360731.380117	-182263.400055
0.003400	-31956163.193633	-399012.892549
0.003500	37856452.673297	-714971.300795
0.003600	202582326.869412	-1082960.764472
0.003700	512608453.580026	-1337764.738373
0.003800	1004896294.315991	-1105933.431980
0.003900	1654005879.860236	296392.109107
0.004000	2281426638.321410	3927482.749924
0.004100	2413795495.971139	11135131.621380
0.004200	1099724529.421690	23123329.490932
0.004300	-3259417229.346730	39866503.181976
0.004400	-12923029239.902885	57992615.099155
0.004500	-30389419570.936474	67315021.942580
0.004600	-57075640632.280823	46075619.873491
0.004700	-90456245038.125259	-44034702.366578
0.004800	-118972450813.056961	-260006901.852201
0.004900	-114376200768.039032	-670370488.047444
0.005000	-22372432746.921021	-1327635794.687595
0.005100	244896510833.027802	-2204017401.267178
0.005200	806107015608.701538	-3071327212.834107
0.005300	1781844774784.016602	-3311517105.014383
0.005400	3214179494486.604492	-1669038681.525422
0.005500	4901137342505.072266	3984019422.691200
0.005600	6113273855486.107422	16684734358.748360
0.005700	5184484970530.664062	39848680531.885086
0.005800	-957121402559.702148	75555116219.575089
0.005900	-17096571199373.144531	120783060934.799789
0.006000	-49383280227197.359375	160654617353.678528
0.006100	-103429358937214.750000	158181919393.056183
0.006200	-179479491701276.375000	41567787894.508575
0.006300	-262922569054832.968750	-306367952382.426636
0.006400	-308646982748010.000000	-1045603274819.022583
0.006500	-219415876639053.187500	-2342119868972.610840
0.006600	177102480797300.000000	-4263061196745.202148
0.006700	1139032930451424.000000	-6558510943049.925781
0.006800	2979986431274919.000000	-8284595010682.345703
0.006900	5947604738198291.000000	-7254161827202.738281
0.007000	9937057093114818.000000	602830235375.310547
0.007100	13951907916209470.000000	21681801409807.421875
0.007200	15248160920920214.000000	64299402116373.453125
0.007300	8205852530392508.000000	136253530357690.703125
0.007400	-16761194406462852.000000	238507512936231.906250
0.007500	-73434090604204048.000000	352655553507912.687500
0.007600	-177501535336770944.000000	420077585691599.750000
